game,review_text,review_date,review_title,author,a
Star Wolves 3: Civil War," This game is the direct sequel of the original Star Wolves the 2nd game saw very limited distribution and is generally acknowledged as the weaker of the series. You own a mothership ""base"" which you fly around the star systems in the game. Combat is the RTS part where you launch fighters from your base. They are not directly controllable - this is where (some of) the RPG elements come in: you select targets and trigger skills but it is up to each pilot how well they fly their fighters. The other RPG part is the story which sees you go through a branching plotline culminating in several endings. This is no save-before-final-battle-then-pick-a-choice crap the choices you make during the course of the game change which storyline you end up on. Completing one ending is less than half of what s available so replay value is good and for a $5 game fantastic. The series is ambitious but unfortunately the writing isn t up to par. Turn off the skeptical part of your brain and enjoy a simple Star Wars type fantasy don t expect indepth intrigue. As one of the few modders of the game I got a chance to dig through it - outside the engine everything is LUA scripts. There was actually supposed to be a 4th game and they got as far as some engine upgrades but ran out of funding - I wish the devs weren t so obsessed spending money on engine upgrades should ve concentrated on improving the story and characters. The series could ve been a cult hit not the niche curio it turned out to be. Despite budget limitations the devs at least attempted something new. At $5 I strongly recommend this game - take a look at some youtube videos to see whether you can tolerate the gameplay. The game isn t too deep you can see how most of it works from videos. This could easily have been a AAA game given budget for better writing. If you re comfortable with VNs or CYOA books the branching plotlines here are perfect. ", September 15 2018, This game is the direct sequel of the original Star Wolves the 2nd game saw very limited distribution and is generally acknowledged as the weaker of the series,ashley8112,a
Lethis - Path Of Progress," First the positives. I really like the art-style and graphics the setting is a nice change of pace from the ""historical"" city builders and... Well that s pretty much it. Beyond the steampunk setting in a fictional world everything is just like the games it imitates... including all the parts I didn t like about them most notably the complete lack of pathing AI for workers that forces you to build housing in a very specific pattern that s both unrealistic and pretty boring to look at. Even worse a bunch of game mechanics that were staples of earlier games have been left out entirely: There s no crime no fires or other disasters and no health system. There s also no combat which is admittedly no great loss but also no diplomacy or reputation system with neighbouring cities either. And that might be why campaign objectives were so repetitive: Have N population in N level housing produce N of a certain commodity rinse and repeat with a new building and item. There are apparently some monuments/Great Works projects further on but to be honest I got bored and quit long before I ever saw those. The one innovative thing the game does try to do is the steam power system but that s handled in such a half-arsed way that they might as well have not bothered; once you ve connected the geothermal vent taps to the big central boiler the steam supply is... dispensed into small gas bottles that walkers transport in carts to various buildings Only one building needs a direct connection and you don t even get that until a fair way into the campaign. By a similar token the walker system is used for distributing water no matter what level the building s at whereas Caesar 3 managed to implement reservoirs and aqueducts that you needed to build in order to advance past a certain level. Eighteen years ago! All in all this is a great looking game with a cool art-style and an interesting setting that just isn t very much fun to actually play. Which is a huge shame. ", January 30 2018, First the positives,figueroa2200,a
Shantae And The Pirate S Curse, Shantae: Risky s Revenge was already a nice and charming little game. Shantae and the Pirate s Curse easily tops it s predecessor as it is bigger faster sexier and even more hilarious! In my opinion this game is on a par with the best explorative plattformers out there and while it s a bit light on the exploration part it easily makes up for it with it s heart-warming narrative and lovable characters. My only real complaint is that the german translation is less than stellar and the game makes it virtually impossible to change the language settings as it always installs in the language of your operating system therefore it only gets 4 out of 5 stars from me (really who does that and why???). , March 8 2018, Shantae: Risky s Revenge was already a nice and charming little game,morton9644,a
Armikrog, Like other reviews mention this is beta software. It s not really at an acceptable quality level but at least I picked it up on a sale. The music and sound effects stop working regularly forcing a relaunch. The main menu is flaky. You even have to click around to find the save/load functionality (how can you even fail on this point? Just put them in the main menu!) It forces me to name my save games as if I cared but can t bother to actually render the text properly in the text field. All these things add up and result is that I go straight to a walkthrough when I m stuck since there s a high probability that I m stuck indefinitely only because of a bug... I hate consulting UHS and walkthroughs. There seem to have been some improvements since the top rated review though: - The cursor is customized and has context sensitivity. - The graphics and sound aren t compressed into garbage. I was actually supposed to be playing the game right now but since the audio stopped working I just wrote this review instead. , November 3 2018, Like other reviews mention this is beta software,osborne,a
Higurashi When They Cry Hou - Ch.1 Onikakushi, A completely non-interactive visual novel that starts as slice-of-life harem drama and takes a sharp turn into horror. With minimal art generic music and no meaningful gameplay Higurashi When They Cry stakes everything on the strength of its story. Chapter 1 presents light-hearted school shenanigans a significant festival and then escalating paranoia and horror. It ll take you a good number of hours to read - this is legitimately a novel. So does the story stack up? Maybe. It s certainly a slow burn. The slice-of-life sections have heart but they re nothing you haven t seen ad nauseum in anime and manga. The horror - and more importantly the mystery - are where the meat lies. Are events in the village of Hinamizawa the work of a curse conspiracy or pure coincidence? Believing in any answer has real emotional consequences and the story works hard to drag your suspicions back and forth across all three possibilities. In the end Chapter 1 has many questions and no real answers. You won t find satisfaction here and you ll need to invest in many following chapters - some equally slow - to get closure. As someone new to the franchise I can t promise that an investment of that kind will be rewarded but the internet seems to suggest it s worth your time. , July 19 2018, A completely non-interactive visual novel that starts as slice-of-life harem drama and takes a sharp turn into horror,glover,a
This War Of Mine: Stories - Season Pass, I usually dislike war games but this one offers a different perspective. I loved it. Great ambiance makes you feel part of it. Really touching. , February 10 2018, I usually dislike war games but this one offers a different perspective,everett,a
Expendable, Twin stick shooter long before that term was used to describe game of that type. I understand the game has its age but playing it with original control setup is nightmare. It really needs controller support. Apart from that its a very nice game. , November 30 2017, Twin stick shooter long before that term was used to describe game of that type,cannon,a
Sea Dogs: City Of Abandoned Ships, ?????????????? ?????? ?????? ?????????????? ?????????????????????? ?? ?????????????????????????? ?????????????? ?????????????????? ?? ?????????????? ?????????????? ???????????????? ???????????? ?????????????????????????? ?? ???????????????????????? ???????????????? ?????????????????? ?????? ???????? ???????????? - ?????????????????? ??????????????. ???? ???????????? ???????????? ?? ???????????? ?? ???????? ?????? 15 ?????????? ?? ???? ?????? ???????? ???????????? ???????????? ???????? ???????????? ?????????????????? ????????????????. ???????? ???? ???????????????????? ???????????? ??????????????????. ???????? ???? ???????????????????? ???????????? ???????????? ???? ?? ????????. ?????????? ?????? ???????????? ???????? ???????? ?? ???????????????????? ?????? ?????? ?????? ??????????????????. ???????????? ?? ?????????????? ???????????? ???? ?????????? ?? ?????? ?????????? ??????. ?????? ???????????????? ?????? ???????????? ?????????????? ???????? ????????????. ???? ??????. ???? ???????????????? ?????? ???????????????? ?????????? ?????????? ?? ???????????????????? ???????????? ?????????????????? ???????????? ???????????????????????? ?????????? Mount&amp;blade. ???????????? ?????????? ???????????????????????? ?? ?????????????? ?????????????? ???????????? ?? ?????????????????????? ?????? ??????????. ?????? ???????????????????? ???????? ???????????? ?????????????????????????? ?????????????????????? ?? ???????????? ????????????????. , October 30 2018, ?????????????? ?????? ?????? ?????????????? ?????????????????????? ?? ?????????????????????????? ?????????????? ?????????????????? ?? ?????????????? ?????????????? ???????????????? ???????????? ?????????????????????????? ?? ???????????????????????? ???????????????? ?????????????????? ?????? ???????? ???????????? - ?????????????????? ??????????????,love,a
This Is The Police 2, The trama is awful there s a lot of insubstancial and boring talks. There s a useless trama for some characters. It also falls too short the first game lasted 180 days and this one ends after 40 days it could ve been way better with a longer story. The gameplay and the battles are nice. I missed the chance of using better weaponary in the long run and more front line combat but it was a good thing of the game. , October 15 2018, The trama is awful there s a lot of insubstancial and boring talks,davenport4932,a
Nightmares From The Deep: The Cursed Heart, There are some things this game does well and others it does badly. Pros: - The artwork is really lovely - The game works perfectly no bugs that I found and seems really polished - The hidden object bits and puzzles are about right hard enough to be satisfying but not so lengthy you re tempted to skip them. If you don t like hidden object puzzles there s a mahjong option instead which is nice sometimes. Cons: - The plot is ludicrous. A particularly notorious pirate captain does not make a good sympathetic character I don t care if he did fall in love. - The atmosphere of the game does not fit AT ALL with the theme. The theme is supernatural horror the atmosphere is surprisingly upbeat and safe-feeling. Everyone but you is some combination of cursed kidnapped or murdered but they re all so very cheerful about it all the time. It s pretty jarring. , August 10 2018, There are some things this game does well and others it does badly,valentine,a
Massive Chalice, Video Review: https://www.youtube.com/watch?v=9PS69ozGcRs Massive Chalice is a turn based strategy game that???s really honestly very unique but not nearly as complex as its official description might lead you to believe. So in this game you play as an immortal strategist essentially. You and your talking chalice work together to run a kingdom that???s under invasion by the cadence which is essentially a mist that spawns enemies and consumes territory if it manages to corrupt it enough. You can create keeps and assign your heroes there to rule it. They will produce new heroes the class and traits of which being influenced by the regent???s traits and class along with that of his or her spouse. You can research technologies except not really. Research is used to build and craft new items and buildings like keeps guilds that increase research speed and crucibles that help train your heroes to higher levels. Higher level parents also create higher level heroes but if you assign all your high levels to rule then you won???t be able to fight with them. As awesome as that entire strategic layer sounds you have to realize that???s all there is to it. You have a very limited space to build and engineering your bloodlines turns into more of a chore with the more keeps you get. Your time out of battles will be almost entirely spent replacing dead heroes in non combat roles and just repeating the same drudgerous tasks over and over again. And that gets old fast. There are special events that pop up as well on that strategic layer that allows you to make a choice of how to handle situations. These situations can either lead to you gaining or losing a hero or maybe even suffering an invasion in a critical location in your kingdom because you thought opening what was essentially pandora???s box was a good idea. Full Text review (since GoG s text limits are very small): http://steamcommunity.com/id/Resoula/recommended/246110/ , August 18 2017, Video Review: https://www,guerrero4555,a
